Generation Model,Embedding Model,Arrival Rate,Top K,Retrieved Doc. Recall@K,Avg. RAG Accuracy,Avg. Queue Latency (s),Avg. Emb. Latency (s),Avg. Ret. Latency (s),Avg. Gen. Latency (s),P99 Latency (s),Throughput (q/s),Avg GPU Power: Embedding (W),Est. GPU Energy Embedding (J),Avg. Energy per Query Embedding (J),Avg GPU Power: Generation (W),Est. GPU Energy Generation (J),Avg. Energy per Query Generation (J),Total Avg. Energy per Query (J)
LLAMA70B,intfloat/multilingual-e5-small,2.0,50,0.9333333333333333,0.36,91.60347453594208,0.01872657616933187,0.0009708213806152344,58.374325822194415,240.67743245124817,0.5020961429564058,65.17902925531915,19472.076265574382,129.81384177049588,387.125897606383,462611.67671227653,3084.0778447485104,3213.891686519006
LLAMA70B,intfloat/multilingual-e5-small,2.0,20,0.8266666666666667,0.36666666666666664,25.432707761128743,0.017310962677001954,0.0008201344807942709,27.27568110148112,93.3736537694931,0.974979296208981,65.22020915032678,10034.091401313286,66.89394267542191,365.1000098039215,224681.7001490447,1497.8780009936313,1564.7719436690531
LLAMA70B,intfloat/multilingual-e5-small,2.0,10,0.7133333333333334,0.32666666666666666,0.297416189511617,0.017560612360636392,0.0007949050267537435,12.94382335027059,34.358838570117946,1.5845685941849137,65.20292473118279,6172.3037712408905,41.1486918082726,322.3840698924732,122071.35913543873,813.8090609029249,854.9577527111975
LLAMA70B,intfloat/multilingual-e5-small,2.0,5,0.5866666666666667,0.26,0.00045145670572916666,0.01757210890452067,0.000754543940226237,10.679763623873393,27.582516703605652,1.5913418660779644,65.17727272727272,6143.614466190337,40.95742977460225,300.7935064935066,113411.27116884505,756.0751411256336,797.0325709002359
LLAMA70B,intfloat/multilingual-e5-small,2.0,3,0.48,0.22,0.0003726673126220703,0.015899990399678546,0.0006967767079671224,9.79330468972524,26.762383747100824,1.6437999685111409,65.16636160714286,5946.559452683905,39.64372968455937,298.7324441964286,109039.70674741035,726.9313783160691,766.5751080006283
LLAMA70B,intfloat/multilingual-e5-small,2.0,1,0.2733333333333333,0.14666666666666667,0.00028243541717529294,0.017208809852600097,0.000719305674235026,8.450284101168315,26.63750784397125,1.6204168083731054,65.1850221238938,6034.097688977265,40.2273179265151,297.29814712389384,110082.10193365513,733.8806795577009,774.1079974842158
LLAMA70B,Alibaba-NLP/gte-multilingual-base,2.0,50,0.9,0.49333333333333335,106.16350036303203,0.0188017733891805,0.001280511220296224,64.95865483283997,276.6700094556808,0.45711722680378974,340.9264363636363,111872.75923096205,745.8183948730804,386.99506969696967,507959.50842134573,3386.3967228089714,4132.215117682052
LLAMA70B,Alibaba-NLP/gte-multilingual-base,2.0,20,0.8,0.44666666666666666,30.361947309176127,0.017956320444742838,0.0010637728373209636,28.875770953496296,104.35162794113157,0.9554070630653161,291.9409252217998,45835.05866365591,305.56705775770604,367.13344106463876,230561.4780908563,1537.0765206057088,1842.643578363415
LLAMA70B,Alibaba-NLP/gte-multilingual-base,2.0,10,0.72,0.38666666666666666,2.862072563171387,0.017623014450073242,0.0009053357442220053,14.355913627942403,38.960944988727526,1.5889859427417494,64.87468085106381,6124.158726582982,40.82772484388655,322.5138882978723,121781.02258402004,811.873483893467,852.7012087373536
LLAMA70B,Alibaba-NLP/gte-multilingual-base,2.0,5,0.62,0.34,0.0008549213409423829,0.018355862299601237,0.0017205222447713216,10.927221582730612,27.591291208267208,1.5941947037575177,64.72668803418802,6090.224225588052,40.60149483725368,293.29115384615386,110384.69259301883,735.8979506201256,776.4994454573792
LLAMA70B,Alibaba-NLP/gte-multilingual-base,2.0,3,0.49333333333333335,0.2866666666666667,0.0003267733256022135,0.01720162232716878,0.001313185691833496,10.3344038216273,27.442210309505462,1.6025607691587442,64.6807531380753,6054.1310865886035,40.36087391059069,292.93798117154813,109676.20828207012,731.1747218804675,771.5355957910582
