Generation Model,Embedding Model,Arrival Rate,Top K,Retrieved Doc. Recall@K,Avg. RAG Accuracy,Avg. Queue Latency (s),Avg. Emb. Latency (s),Avg. Ret. Latency (s),Avg. Gen. Latency (s),P99 Latency (s),Throughput (q/s),Avg GPU Power: Embedding (W),Est. GPU Energy Embedding (J),Avg. Energy per Query Embedding (J),Avg GPU Power: Generation (W),Est. GPU Energy Generation (J),Avg. Energy per Query Generation (J),Total Avg. Energy per Query (J)
LLAMA8B,Snowflake/snowflake-arctic-embed-s,2,10,0.08652186421,0.0917721519,0.0003514105006,0.0129,0.0095,0.1784,0.8820,1.9691,61.3100,19677.9746,31.1360,126.7746,40689.3626,64.3819,95.5179
LLAMA8B,Snowflake/snowflake-arctic-embed-s,4,10,0.0865,0.0918,0.0003,0.0128,0.0096,0.1610,0.8543095636,3.936288404,61.24334158,9833.068085,15.5587,150.8763,24224.2995,38.3296,53.8882
LLAMA8B,infly/inf-retriever-v1-1.5b,8,10,0.3213459185,0.1627516779,0.0010,0.3660,0.0141,1.3582,7.9628,7.6564,62.1776,5132.4429,8.1210,321.9181,26572.6863,42.0454,50.1663
LLAMA8B,intfloat/multilingual-e5-small,8,10,0.2545,0.1245,0.0003,0.0130,0.0097,0.2138,1.1521,7.8193,61.7362,4989.8701,7.8954,254.1498,20541.8396,32.5029,40.3983
LLAMA8B,intfloat/multilingual-e5-small,8,10,0.2545,0.1229,0.0003,0.0130,0.0089,0.2182,1.1605,7.8203,62.4021,5043.0553,7.9795,257.6063,20818.5728,32.9408,40.9203
LLAMA8B,Snowflake/snowflake-arctic-embed-s,8,10,0.0865,0.1192,0.0003,0.0147,0.0096,0.1801,0.7478,7.8513,61.6418,4961.9523,7.8512,241.1367,19410.6592,30.7131,38.5643
LLAMA8B,Snowflake/snowflake-arctic-embed-s,8,10,0.0865,0.1211,0.0004,0.0147,0.0091,0.1874,0.7753,7.8487,62.4899,5031.8657,7.9618,237.0814,19090.4787,30.2065,38.1683
LLAMA8B,infly/inf-retriever-v1-1.5b,2,20,0.3746,0.1709,0.0003,0.0345,0.0072,0.9759,4.3282,1.9685,61.4356,19724.0501,31.2089,280.0868,89922.5947,142.2826,173.4915
LLAMA8B,infly/inf-retriever-v1-1.5b,4,20,0.3746,0.1693,0.0003,0.0407,0.0074,2.3726,13.8378,3.8420,61.4096,10101.6307,15.9836,370.8171,60997.8993,96.5157,112.4993
LLAMA8B,intfloat/multilingual-e5-small,2,20,0.2968,0.1218,0.0004,0.0123,0.0103,0.3759,1.3790,1.9662,61.3384,19716.5982,31.1971,191.2234,61466.8118,97.2576,128.4548
LLAMA8B,intfloat/multilingual-e5-small,4,20,0.2968,0.1203,0.0003,0.0123,0.0099,0.4481,1.8668,3.9162,61.3319,9897.7384,15.6610,268.0197,43253.0022,68.4383,84.0993
LLAMA8B,Snowflake/snowflake-arctic-embed-s,2,20,0.1094008576,0.08544303797,0.0003155745283,0.0127,0.0126,0.2683,0.9327,1.9683,61.2159,19655.4036,31.1003,162.1997,52079.6341,82.4045,113.5048
LLAMA8B,Snowflake/snowflake-arctic-embed-s,4,20,0.1094,0.0854,0.0004,0.0128,0.0114,0.3221,1.0384,3.9286,61.2748,9857.3646,15.5971,248.0586,39905.5242,63.1417,78.7387
LLAMA8B,infly/inf-retriever-v1-1.5b,8,20,0.3746,0.1714,1.3727,0.0612,0.0081,20.0209,38.7103,5.2934,62.2871,7436.6317,11.7668,396.4908,47338.1838,74.9022,86.6690
LLAMA8B,intfloat/multilingual-e5-small,8,20,0.2968,0.1237,0.0003,0.0124,0.0089,0.8847,4.1740,7.6279,62.3074,5162.3816,8.1683,361.1108,29919.2815,47.3406,55.5090
LLAMA8B,intfloat/multilingual-e5-small,8,20,0.2968,0.1256,0.0003,0.0125,0.0096,0.8683,4.1084,7.6247,61.6250,5108.0352,8.0823,367.1792,30435.0994,48.1568,56.2391
LLAMA8B,Snowflake/snowflake-arctic-embed-s,8,20,0.1094,0.1029,0.0004,0.0148,0.0094,0.2551,1.3661,7.8206,62.2992,5034.5576,7.9661,274.6073,22191.7025,35.1135,43.0795
LLAMA8B,Snowflake/snowflake-arctic-embed-s,8,20,0.1094,0.1031,0.0003,0.0145,0.0096,0.2469,1.2165,7.8047,61.7167,4997.5959,7.9076,271.5154,21986.3513,34.7885,42.6961
LLAMA8B,infly/inf-retriever-v1-1.5b,2,50,0.4603,0.0348,0.0004,0.0342,0.0089,0.2573,2.8046,1.9675,61.3527,19707.6275,31.1830,149.3406,47970.9809,75.9035,107.0864
LLAMA8B,infly/inf-retriever-v1-1.5b,4,50,0.4603,0.0332,0.0003,0.0391,0.0073,0.2919,3.1705,3.9304,61.3140,9859.2744,15.6001,220.6679,35483.3227,56.1445,71.7446
LLAMA8B,intfloat/multilingual-e5-small,2,50,0.3600,0.1472,0.0004,0.0121,0.0102,1.4582,7.5344,1.9561,61.2072,19775.7229,31.2907,307.2042,99256.0554,157.0507,188.3414
LLAMA8B,intfloat/multilingual-e5-small,4,50,0.3600,0.1440,0.0004,0.0123,0.0105,15.8058,42.9119,3.4006,61.2790,11388.8092,18.0203,394.9134,73395.3369,116.1319,134.1521
LLAMA8B,Snowflake/snowflake-arctic-embed-s,2,50,0.1384,0.0934,0.0004,0.0124,0.0098,0.6216,2.8633,1.9642,61.3637,19744.5677,31.2414,232.1023,74681.8606,118.1675,149.4089
LLAMA8B,Snowflake/snowflake-arctic-embed-s,4,50,0.1384,0.0918,0.0003,0.0126,0.0098,1.0650,5.5116,3.9029,61.3976,9942.2256,15.7314,331.2078,53633.1221,84.8625,100.5939
LLAMA8B,infly/inf-retriever-v1-1.5b,8,50,0.4603,0.0100,0.0005,0.1277,0.0077,0.2063,2.0646,7.8087,62.3463,5046.0114,7.9842,245.3731,19859.3355,31.4230,39.4072
LLAMA8B,intfloat/multilingual-e5-small,8,50,0.3600,0.1371,12.6006,0.0137,0.0096,33.5040,90.4447,3.6579,61.7309,10665.7492,16.8762,396.7493,68549.6235,108.4646,125.3408
LLAMA8B,intfloat/multilingual-e5-small,8,50,0.3600,0.1404,12.6735,0.0139,0.0092,33.6436,91.0950,3.6421,62.1818,10790.2207,17.0731,397.1424,68914.9041,109.0426,126.1157
LLAMA8B,Snowflake/snowflake-arctic-embed-s,8,50,0.1384,0.0971,0.0003,0.0147,0.0100,8.2239,15.5453,6.8527,61.7533,5695.2801,9.0115,396.4213,36560.4810,57.8489,66.8604
LLAMA8B,Snowflake/snowflake-arctic-embed-s,8,50,0.1384,0.0992,0.0003,0.0138,0.0098,8.1452,15.7079,6.8630,62.3812,5744.5282,9.0894,396.4222,36505.5235,57.7619,66.8513
LLAMA70B,infly/inf-retriever-v1-1.5b,2,1,0.1102,0.2136,0.0004,0.0354,0.0128,0.5947,2.2518,1.9705,61.7105,19792.7637,31.3177,233.4298,299477.2570,473.8564,505.1741
LLAMA70B,intfloat/multilingual-e5-small,2,1,0.1017,0.1946,0.0004,0.0133,0.0097,0.2356,1.2159,1.9701,61.4216,19703.5745,31.1765,142.5077,182861.4500,289.3377,320.5143
LLAMA70B,Snowflake/snowflake-arctic-embed-s,2,1,0.0217,0.1582,0.0004,0.0128,0.0077,0.6470,3.1700,1.9702,61.4648,19716.3317,31.1967,224.4066,287935.6773,455.5944,486.7912
LLAMA70B,infly/inf-retriever-v1-1.5b,3,1,0.1102,0.2120,0.0003,0.0359,0.0058,0.7155,2.4387,2.9558,61.3890,13126.0485,20.7691,275.8202,235900.9245,373.2610,394.0300
LLAMA70B,intfloat/multilingual-e5-small,3,1,0.1017,0.1962,0.0004,0.0120,0.0100,0.2369,1.2729,2.9554,61.8352,13223.3810,20.9231,177.5770,151898.5043,240.3457,261.2688
LLAMA70B,Snowflake/snowflake-arctic-embed-s,3,1,0.0217,0.1598,0.0004,0.0124,0.0160,0.6237,3.2578,2.9556,61.5514,13161.6574,20.8254,256.3396,219254.2713,346.9213,367.7467
